energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,name
0.576,0.121,111.975,0.0289,0.0787,1.01e-05,4,0.795,6,183861,-4.971,0.847,1,spotify:track:5B6Kjha6RRIMWGN7zGsAaT,So Hot You're Hurting My Feelings
0.521,0.117,91.957,0.033,0.519,2.32e-06,4,0.714,7,183120,-7.384,0.336,1,spotify:track:3qT67cZ6ZloAk6jDgG1Zc8,Every Rule
0.859,0.093,128.04,0.0364,0.139,0.0472,4,0.779,5,159920,-1.572,0.904,0,spotify:track:2lE8pY64icLsx6k0Wr9iVF,Baby
0.765,0.522,129.903,0.0579,0.646,0.00352,4,0.384,6,252231,-4.463,0.567,1,spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ,Sunflower
0.609,0.096,117.023,0.0544,0.217,0.00474,4,0.756,3,155720,-7.927,0.537,1,spotify:track:5EYi2rH4LYs6M21ZLOyQTx,Loving Is Easy
0.677,0.32,140.963,0.0397,0.00142,0.000164,4,0.676,2,140954,-5.369,0.693,1,spotify:track:5kzsfmg5XrlG2cxnHbBNC5,Tightrope
0.742,0.198,163.378,0.0485,0.00181,0.281,4,0.174,8,223747,-5.93,0.36,1,spotify:track:2enPRFda84VE2wtI8c86Uf,Always Forever
0.892,0.127,146.97,0.0618,7.59e-05,2.4e-06,4,0.419,8,191584,-5.604,0.6,1,spotify:track:63HHF9ZpCIisujKFk2rixR,Tek It
0.565,0.214,131.083,0.122,0.537,0.0,3,0.627,3,142830,-6.922,0.514,1,spotify:track:19YOJKCVvOL7v6B2Oe3UBc,One More Weekend
0.807,0.0951,149.901,0.0267,0.00275,0.000166,4,0.538,6,278454,-6.369,0.412,1,spotify:track:34tECu2ryIb402OzrfexGb,WYAF
0.873,0.132,165.006,0.0478,0.127,0.00044,4,0.593,11,169573,-5.186,0.886,1,spotify:track:4TMVC63HZDYaTGtlhbM95i,Live A Little
0.733,0.106,146.935,0.0336,0.0661,0.0,4,0.702,1,147381,-6.531,0.291,1,spotify:track:4jcM7Z6rKqsjEWpSTVfjmm,Girls In Line for the Bathroom
0.523,0.109,94.025,0.0444,0.761,3.17e-06,4,0.675,1,195564,-7.598,0.376,1,spotify:track:1AHa2iLVTyjMisXwg0oMh1,Not Sad Anymore
